label,text,lang
0,"kondisi nya sepi tetapi makanan keluar nya lama , spaghetti 1 / 2 jam , roasted chicken 45 menit . jus nya tidak segar . foie gras salad : foie gras nya masih bau anyir . komplain soal jus nya yang tidak segar , dijawab sama captain nya oo . gitu ? saya terangkan bahwa jus nya bau aroma kulkas yang meresap masuk ke buah nya , dia tidak terima . saya bilang cicipi saja , lalu dibawa gelas nya kembali ke pantry . sangat tidak ramah .",ind
0,kulaklik cok iyi değil ama parasini hakediyor.,tur
0,Wenn der eigentlich pünktliche Zug ohne Erklärung ewig am Gleis rumsteht. #Pendlerfreuden #Bahn,deu
0,Minn kollox qed naghmlu u ngħidu biex mingħalina nerġaw nirbħu n-nagħag mitlufa.,mlt
1,"मंत्री से ऑफिसर फिरोज (डैनी) पूछने के लिए आता है कि दूसरे देश से आतंकवादी को गुपचुप तरीके से पकड़ने के लिए कोवर्ट काउंटर इंटेलिजेंस के ऑफिसर अजय (अक्षय कुमार) को परमिशन दी जाए। मंत्री पूछते हैं कि यदि अजय पकड़ा गया तो? फिरोज कहता है 'हम बोल देंगे कि हम इसे जानते ही नहीं है। मंत्री जी, ये अलग ही किस्म के बंदे होते हैं। थोड़े से खिसके हुए। ये देश के लिए मरते नहीं बल्कि जिंदा रहते हैं। इन्हें इस बात की भी परवाह नहीं रहती कि सरकार इन्हें क्या देती है?' अजय जैसे ऑफिसर्स की कहानी है 'बेबी', जिनके लिए राष्ट्र सबसे पहले होता है। उनकी उपलब्धि का कोई गुणगान भी नहीं होता ‍क्योंकि उनकी पत्नी तक नहीं जानती कि वे क्या काम करते हैं। पकड़े जाए तो सरकार भी पल्ला छुड़ा लेती है। 
 
चुनिंदा ऑफिसर्स को लेकर पांच वर्ष का एक मिशन बनाया गया है जिसका नाम है 'बेबी'। ये लोग आतंकवादियों को ढूंढ उन्हें मार गिराते हैं। 'बेबी' फिल्म उनके अंतिम मिशन के बारे में हैं। इस यूनिट का हेड फिरोज (डैनी) के नेतृत्व में अजय और उसके साथी (अनुपम खेर, राणा दग्गुबाती, तापसी पन्नू) इंडियन मुजाहिदीन का खास बिलाल खान (केके मेनन) के पीछे हैं जो मुंबई से भाग सऊदी अरब पहुंच गया है। वह मुंबई और दिल्ली में खतरनाक घटनाओं को अंजाम देना चाहता है। एक सीक्रेट मिशन के तहत बेबी की टीम उसके पीछे सऊदी अरब पहुंच जाती है। 


'बेबी' का निर्देशन किया है नीरज पांडे ने, जिनके नाम के आगे 'ए वेडनेस डे' और 'स्पेशल 26' जैसी बेहतरीन रोमांचक फिल्में हैं। वास्तविक घटनाओं से प्रेरणा लेकर वे थ्रिलर गढ़ते हैं और सरकारी ऑफिसर्स की कार्यशैली को बखूबी स्क्रीन पर दिखाते हैं। 'बेबी' में भी उनकी यह खूबी नजर आती है। वैसे 'बेबी' देखते समय आपको 'डी डे' और टीवी धारावाहिक '24' याद आते हैं। 
 
नीरज की फिल्में वास्तविकता के नजदीक रहती हैं, लेकिन 'बेबी' में उन्होंने सिनेमा के नाम पर कुछ ज्यादा ही छूट ले ली है। हालांकि जो परदे पर दिखाया जा रहा है उसे न्यायसंगत ठहराने की उन्होंने पूरी कोशिश की है, लेकिन दर्शकों को पूरी तरह संतुष्ट नहीं कर सके। 
बेबी का टिकट बुक करने के लिए क्लिक करें : 
बेबी का टिकट बुक करने के लिए क्लिक करें : 
फिल्म का पहला हिस्सा थोड़ा लंबा खींचा गया है और कुछ हिस्से गैर जरूरी लगते हैं। मसलन इस्तांबुल पहुंच कर अजय का अपने साथी को आतंकियों से छुड़ाने वाला हिस्सा फिल्म की कहानी के लिए इतना महत्वपूर्ण नहीं है जितने की फुटेज इस पर खर्च किए गए हैं। 
 
बिलाल की एंट्री के बाद फिल्म में पकड़ आती है और इंटरवल के बाद वाला हिस्सा बेहतरीन है। खासतौर पर फिल्म के अंतिम 40 मिनट जबरदस्त है और इस दरमियान आप कुर्सी से हिल नहीं पाते हैं। 
 
आतंकवादियों के मामले पर फिल्म में नया एंगल यह दिखाया गया है कि सीमा पार के लोग हमारे देश के नागरिकों को उनका हथियार बना रहे हैं। वे हमारी सरकार के खिलाफ खास समुदाय के लोगों के मन में संदेह पैदा कर रहे हैं ताकि उनका काम आसान हो। दूसरी ओर 'बेबी' यूनिट का हेड फिरोज को दिखा कर निर्देशक और लेखक ने यह भी स्पष्ट किया है आतंकवादियों को किसी खास समुदाय से जोड़ कर नहीं देखा जाना चाहिए। 
 
नीरज पांडे द्वारा लिखी गई स्क्रिप्ट में कुछ खामियां भी हैं, जैसे बिलाल, जो अपने आपको कसाब से बड़ा आतंकी मानता है, बड़ी आसानी से मुंबई से भाग निकल आता है। उसके भाग निकलने वाला सीन बेहद कमजोर है और इसका फिल्मांकन सत्तर के दशक की फिल्मों की याद दिला देता है। उस समय भी स्मगलर पुलिस की गिरफ्त से ऐसे ही भाग निकलते थे। 
 
सऊदी अरब में जिस तरह से अपने मिशन को 'बेबी' ग्रुप अंजाम देता है उस पर यकीन करना मुश्किल होता है। हालांकि भारत सरकार की ओर से उन्हें पूरी मदद मिलती है और इसके जरिये फिल्म के निर्देशक ने ड्रामे को विश्वसनीय बनाने की पुरजोर कोशिश भी की है। इन खामियों के बावजूद नीरज रोमांच पैदा करने में सफल रहे हैं। दर्शक पूरी तरह से फिल्म से बंध कर रहते हैं और उत्सुकता बनी रहती है।
 
रोमांटिक दृश्यों में निर्देशक नीरज की असहजता स्पष्ट दिखाई देती है। इस तरह के सीन उन्होंने मन मारकर 'स्पेशल 26' में भी रखे थे और 'बेबी' में भी यही बात जारी है। अक्षय और उनकी पत्नी के बीच के दृश्यों बेहद सतही हैं। 
 
अक्षय कुमार ने अपनी भूमिका पूरी गंभीरता से निभाई है। एक्शन रोल में वे जमते हैं और 'बेबी' में अजय के किरदार में वे बिलकुल फिट नजर आए। अक्षय के मुकाबले अन्य कलाकारों को कम फुटेज मिले। राणा दग्गुबाती को तो संवाद तक नहीं मिले। छोटे-से रोल में तापसी पन्नू अपना असर छोड़ जाती है। उनका और अक्षय के बीच नेपाल वाला घटनाक्रम फिल्म का एक बेहतरीन हिस्सा है। अनुपम खेर की फिल्म के क्लाइमैक्स में एंट्री होती है और वे तनाव के बीच राहत प्रदान करते हैं। मधुरिमा तूली के पास करने के लिए ज्यादा कुछ नहीं था। रशीद नाज और सुशांत सिंह ने अपने-अपने किरदारों को बेहतरीन तरीके से निभाया है। 
 
फिल्म का बैकग्राउंड म्युजिक बहुत ज्यादा लाउड है। कुछ लोगों को सिर दर्द की भी शिकायत हो सकती है। फिल्म की सिनेमाटोग्राफी ऊंचे दर्जे की है। 
 
'बेबी' और बेहतर बन सकती थी, बावजूद इसके यह फिल्म एक बार देखी जा सकती है।
 
बैनर : टी-सीरिज सुपर कैसेट्स इंडस्ट्रीज लि., ए फ्राईडे फिल्मवर्क्स, क्राउचिंग टाइगर मोशन पिक्चर्स, केप ऑफ गुड फिल्म्स
निर्देशक : नीरज पांडे
संगीत : मीत ब्रदर्स
कलाकार : अक्षय कुमार, तापसी पन्नू, राणा दग्गुबाती, अनुपम खेर, डैनी, केके मेनन, मधुरिमा टुली, रशीद नाज, सुशांत सिंह
सेंसर सर्टिफिकेट : यूए * 2 घंटे 39 मिनट 42 सेकंड्स
",hin
1,"Dostava brza , klopica vruća i fina",hrv
1,اكرمك الله يا استاذي الفاضل ,ara
1,olisi kiva tietää missä nykyään asuu ja mitä kuuluu,fin
0, لجنة فاشله تتمسخر على المتقدمين ,ara
1,Много добър замисъл и изпълнение. Имаше нужда от малко повече екшън.,bul
0,Pek işe yaradığı söylenemez. Fiyatını hak ettiğini düşünmüyorum. Üstüne 3-5 daha koyup düzgün bişey alsaymışım iyiymiş. Oyuncaktan farkı yok.,tur
1,"早前跟好朋友在此食生日飯小籠包好味,,,有湯架入面食左3樣野好滿足上次會再黎過",cmn
0,"Knn man ein zugticket auch bar kaufen alo ohne an den computer zu müssen ? Ja , es gibt am Bahnhof Schalter , wo du das machen kannst ! Es gibt aber auch im Zug Fahrkartenautomaten , wo du Tickets kaufen kannst . Verlass ' sich da abed nicht drauf , vielleicht hat dein Zug sowas nicht , und dann zählt du als Schwarzfahrer . Mit freundlichen Grüßen gutefrage.net-Tag : Bahn gutefrage.net-Tag : Kosten gutefrage.net-Tag : Ticket",deu
1,les gar walaye le clip est mal zooo tchieee épi la parti d anglais là me fatigue trop ehhhh iba one qui es tu walaye tg fo saya king tg le roi di genova adan,bam
1,It-tranżazzjoni mis-Sekondarja għall-Higher / JC / MCAST mhijiex faċli. Il-ġenitur għandu jibqa' jkun mgħarraf regolarment bl-attendenza u l-imġieba ta' ibnu jew bintu.,mlt
